!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
     500        1148810     43710        99999            7.4		0.01482	
     500        1153195     43775        99999            7.5		0.01482	
     500        1157580     43840        99999            7.6		0.01367	
     500        1161970     43900        99999            7.7		0.01367	
     500        1166360     43960        99999            7.8		0.01362	
     500        1170765     44020        99999            7.9		0.01362	
     500        1175170     44080        99999              8		0.01247	
     500        1179580     44135        99999            8.1		0.01247	
     500        1183990     44190        99999            8.2		0.0113	
     500        1188415     44240        99999            8.3		0.0113	
     500        1192840     44290        99999            8.4		0.01015	
     500        1197275     44335        99999            8.5		0.01015	
     500        1201710     44380        99999            8.6		0.00901	
     500        1206150     44420        99999            8.7		0.00901	
     500        1210590     44460        99999            8.8		0.01122	
     500        1215045     44510        99999            8.9		0.01122	
     500        1219500     44560        99999              9		0.01009	
     500        1223960     44605        99999            9.1		0.01009	
     500        1228420     44650        99999            9.2		0.01119	
     500        1232890     44700        99999            9.3		0.01119	
     500        1237360     44750        99999            9.4		0.00894	
     500        1241835     44790        99999            9.5		0.00894	
     500        1246310     44830        99999            9.6		0.01002	
     500        1250800     44875        99999            9.7		0.01002	
     500        1255290     44920        99999            9.8		0.01001	
     500        1259785     44965        99999            9.9		0.01001	
     500        1264280     45010        99999             10		0.01001	
     500        1268775     45055        99999           10.1		0.01001	
     500        1273270     45100        99999           10.2		0.01001	
     501              0         0        99999           1290		50	!use upper interval coefev Indian  Valley
     501            189         0        99999           1300		50	
     501            190        50        99999           1310		0.09938	
     501            995       130        99999           1320		0.06011	
     501           2825       240        99999           1330		0.0506	
     501           6185       410        99999           1340		0.03545	
     501          10980       580        99999           1350		0.01507	
     501          18280       690        99999           1360		0.03902	
     501          25200       960        99999           1370		0.00737	
     501          34700      1030        99999           1380		0.01238	
     501          45200      1160        99999           1390		0.01957	
     501          59000      1430        99999           1400		0.02412	
     501          76000      1840        99999           1410		0.01753	
     501          95400      2180        99999           1420		0.01447	
     501         118900      2520        99999           1430		0.01119	
     501         145700      2820        99999           1440		0.01115	
     501         175300      3150        99999           1450		0.00846	
     501         208400      3430        99999           1460		0.00632	
     501         243200      3650        99999           1470		0.00559	
     501         280800      3860        99999           1480		0.00558	
     501         322000      4090        99999           1490		0.00558	
     600              0         0        99999           1109		0.01696	
     600          57500       975        99999           1197		0.01696	
