C NODEDR     ELEVDR        CDCDR     ISTRMDR
C-------------------------------------------------------------------------------
  -107     390.90         99999         273             / SAC196 --> SR_05_SAC196
  -109     652.90         99999         260             / SAC214 --> SR_04_SAC207
  -110     494.90         99999         260             / SAC214 --> SR_04_SAC207
  -111     360.90         99999         302             / SAC207 --> SR_04_SAC207
  -112     226.90         99999         302             / SAC207 --> SR_04_SAC207
  -114     193.90         99999         273             / SAC196 --> SR_05_SAC196
  -115     421.90         99999         273             / SAC196 --> SR_05_SAC196
  -116     146.90         99999         273             / SAC196 --> SR_05_SAC196
  -117     189.90         99999         273             / SAC196 --> SR_05_SAC196
  -118     393.90         99999         273             / SAC196 --> SR_05_SAC196
  -119     152.90         99999         273             / SAC196 --> SR_10_SAC196
  -120     171.90         99999         273             / SAC196 --> SR_10_SAC196
  -121     322.90         99999         273             / SAC196 --> SR_05_SAC196
  -122     828.90         99999         263             / STN026 --> SR_06_SAC185
  -123     692.90         99999         263             / STN026 --> SR_06_SAC185
  -133     883.90         99999         263             / STN026 --> SR_06_SAC185
  -134     474.90         99999         263             / STN026 --> SR_06_SAC185
  -135     763.90         99999         306             / GCC022 --> SR_07N_CBD049
  -136     217.90         99999         306             / GCC022 --> SR_07N_CBD049
  -137     237.90         99999         305             / GCC015 --> SR_07N_CBD049
  -138     181.90         99999         305             / GCC015 --> SR_07N_CBD049
  -141     132.90         99999         290             / BTC007 --> SR_09_BSL001
  -142     164.90         99999         290             / BTC007 --> SR_10_BSL001
  -145     115.90         99999         290             / BTC007 --> SR_10_BSL001
  -146     134.90         99999         286             / BTC029 --> SR_10_BTC017
  -148     192.90         99999         289             / BTC016 --> SR_10_BTC017
  -149     154.90         99999         289             / BTC016 --> SR_10_BTC017
  -150     331.90         99999         290             / BTC007 --> SR_10_BSL001
  -151     190.90         99999         290             / BTC007 --> SR_10_BSL001
  -152     401.90         99999         341             / FTR067 --> SR_11_FTR059
  -153     181.90         99999         305             / GCC015 --> SR_07N_CBD049
  -156     106.90         99999         290             / BTC007 --> SR_09_BSL001
  -158     117.90         99999         289             / BTC016 --> SR_11_BTC017
  -159     117.90         99999         290             / BTC007 --> SR_11_BSL001
  -160     166.90         99999         343             / FTR059 --> SR_11_FTR059
  -163     303.90         99999         346             / FTR045 --> SR_13_RFS13
  -164     186.90         99999         346             / FTR045 --> SR_13_RFS13
  -165     902.90         99999         265             / STN014 --> SR_06_SAC185
  -166     382.90         99999         306             / GCC022 --> SR_07N_CBD049
  -167     241.90         99999         306             / GCC022 --> SR_07N_CBD049
  -168     154.90         99999         306             / GCC022 --> SR_07N_CBD049
  -170     105.90         99999         318             / CBD049 --> SR_08N_CBD049
  -172     104.90         99999         290             / BTC007 --> SR_09_BSL001
  -174      95.90         99999         289             / BTC016 --> SR_11_BTC017
  -175     102.90         99999         290             / BTC007 --> SR_11_BSL001
  -176     138.90         99999         343             / FTR059 --> SR_11_FTR059
  -178     154.90         99999         346             / FTR045 --> SR_13_RFS13
  -179    1048.90         99999         306             / GCC022 --> SR_07N_CBD049
  -180     483.90         99999         306             / GCC022 --> SR_07N_CBD049
  -181     297.90         99999         306             / GCC022 --> SR_07N_CBD049
  -182     161.90         99999         306             / GCC022 --> SR_07N_CBD049
  -184     111.90         99999         318             / CBD049 --> SR_08N_CBD049
  -185      92.90         99999         318             / CBD049 --> SR_08N_CBD049
  -187      81.90         99999         290             / BTC007 --> SR_11_BSL001
  -189      83.90         99999         289             / BTC016 --> SR_11_BTC017
  -190      88.90         99999         290             / BTC007 --> SR_11_BSL001
  -191      96.90         99999         290             / BTC007 --> SR_11_BSL001
  -193     144.90         99999         346             / FTR045 --> SR_12_HON004
  -194     477.90         99999         306             / GCC022 --> SR_07N_CBD049
  -195     360.90         99999         308             / GCC032 --> SR_07N_CBD049
